Date,Country,Exchange rate
1971-01-04,Australia,0.8987148377819718
1971-01-05,Australia,0.8983111749910169
1971-01-06,Australia,0.8976660682226211
1971-01-07,Australia,0.8978272580355541
1971-01-08,Australia,0.8989572096368212
1971-01-11,Australia,0.896700143472023
1971-01-12,Australia,0.8963786303334529
1971-01-13,Australia,0.8956560680698611
1971-01-14,Australia,0.893734918223255
1971-01-15,Australia,0.8942944017170452
1971-01-18,Australia,0.894534394847482
1971-01-19,Australia,0.893415527561869
1971-01-20,Australia,0.893415527561869
1971-01-21,Australia,0.8930166101089481
1971-01-22,Australia,0.8925383791503034
1971-01-25,Australia,0.8909479686386315
1971-01-26,Australia,0.8904719501335708
1971-01-27,Australia,0.8904719501335708
1971-01-28,Australia,0.8901548869503294
1971-01-29,Australia,0.8899964400142399
1971-02-01,Australia,0.8896005693443643
1971-02-02,Australia,0.889679715302491
1971-02-03,Australia,0.8896005693443643
1971-02-04,Australia,0.8902341315766047
1971-02-05,Australia,0.8909479686386315
1971-02-08,Australia,0.889679715302491
1971-02-09,Australia,0.8907892392659896
1971-02-10,Australia,0.890551251224508
1971-02-11,Australia,0.890551251224508
1971-02-12,Australia,
1971-02-15,Australia,
1971-02-16,Australia,0.8892841262783459
1971-02-17,Australia,0.8892841262783459
1971-02-18,Australia,0.8893632159373888
1971-02-19,Australia,0.8893632159373888
1971-02-22,Australia,0.8892841262783459
1971-02-23,Australia,0.8892841262783459
1971-02-24,Australia,0.8892841262783459
1971-02-25,Australia,0.8898380494749957
1971-02-26,Australia,0.8904719501335708
1971-03-01,Australia,0.8903926631644555
1971-03-02,Australia,0.8896005693443643
1971-03-03,Australia,0.8892841262783459
1971-03-04,Australia,0.8897588753447816
1971-03-05,Australia,0.8896005693443643
1971-03-08,Australia,0.8892841262783459
1971-03-09,Australia,0.8893632159373888
1971-03-10,Australia,0.8892841262783459
1971-03-11,Australia,0.8894423196655696
1971-03-12,Australia,0.8892841262783459
1971-03-15,Australia,0.8892841262783459
1971-03-16,Australia,0.8896005693443643
